Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Action', 'RPG', 'Adventure']",Welcome to Vegas. New Vegas. Enjoy your stay!,2,10,Intel Core 2 Duo T5750,Intel Core 2 Duo T5750,AMD Radeon X1300,AMD Radeon X1300,AMD Radeon X1300,594,594,58,58,58,Fallout New Vegas
"['Indie', 'Adventure', 'Early Access']","Interact with strange new worlds in a unique and tactile way, molding the environment itself as if it were clay in your hands. Build your base, master resource management, automate your production lines, and more as you unravel the mysteries of the universe, alone or with friends.",4,2,Intel Core Duo T2450,Intel Core Duo T2450,NVIDIA GeForce 8500 GT,NVIDIA GeForce 8500 GT,NVIDIA GeForce 8500 GT,411,411,155,155,155,ASTRONEER
"['Racing', 'Sports', 'Simulation']","We are the world s premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.",2,16,Intel Core i5-4430,Intel Core i5-4430,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,25352,25352,3886,3886,3886,iRacing
"['RPG', 'Indie', 'Adventure']",Lets imagine that you have a game in which you care for a character. But could you imagine one day getting into that game yourself?,4,2,Intel Core i5-2300,Intel Core i5-2300,,,,14365,14365,0,0,0,MiSide
"['Sports', 'Simulation']","Experience a gripping retelling of WrestleMania s greatest moments in 2K Showcase of the Immortals in WWE 2K24, where you can relive a collection of some of the most unforgettable, career-defining matches.",8,90,Intel Core i5-3550,Intel Core i5-3550,AMD Radeon RX 480,AMD Radeon RX 480,AMD Radeon RX 480,31430,31430,8569,8569,8569,WWE 2K24
"['Action', 'RPG', 'FPS']",Dark Souls will be the most deeply challenging game you play this year. Can you live through a million deaths and earn your legacy?,2,4,Intel Core 2 Duo E6850,Intel Core 2 Duo E6850,AMD GeForce 9800 GTX,AMD GeForce 9800 GTX,AMD GeForce 9800 GTX,594,594,769,769,769,DARK SOULS: Prepare To Die Edition
"['Strategy', 'Indie']","Fly on a magic carpet through the mystical land of Bazaar, collecting exotic trinkets for your journey! Beware dart traps, sea cobras, and hungry crocs that lurk around corners. Vandal monkeys have stolen relics from the guardian of the labyrinth - will you recover them in time or be trapped forever?",4,1,Intel Core i3-330E,Intel Core i3-330E,AMD Radeon Pro 450,AMD Radeon Pro 450,AMD Radeon Pro 450,1260,1260,2722,2722,2722,Bazaar
"['Action', 'RPG', 'Indie']","Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",2,1,Intel Core 2 Duo T5750,Intel Core 2 Duo T5750,,,Intel HD 3000,594,594,260,260,260,Terraria
"['Action', 'RPG', 'Adventure']","Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!",8,55,AMD FX-6300,AMD FX-6300,,,,4223,4223,0,0,0,NARAKA: BLADEPOINT
"['Action', 'RPG', 'Free to Play']","An unforgiving hardcore fantasy FPS dungeon PvPvE adventure. Band together with your friends and use your courage, wits, and cunning to uncover mythical treasures, defeat gruesome monsters, while staying one step ahead of the other devious treasure-hunters.",8,12,Intel Core 2 Quad Q9705,Intel Core 2 Quad Q9705,GeForce GTX 1060,AMD Radeon RX 580,GeForce GTX 1060,756,756,10081,8822,10081,Dark and Darker
"['Action', 'RPG', 'Indie']",Battle beyond the Underworld using dark sorcery to take on the Titan of Time in this bewitching sequel to the award-winning rogue-like dungeon crawler.,8,10,Intel Core i5-3210M,Intel Core i5-3210M,NVIDIA GeForce GTX 950,Radeon R7 360,NVIDIA GeForce GTX 950,2469,2469,5343,3136,5343,Hades II
"['Action', 'Adventure', 'FPS']","Ushering in a new era for the METAL GEAR franchise with cutting-edge technology powered by the Fox Engine, METAL GEAR SOLID V: The Phantom Pain, will provide players a first-rate gaming experience as they are offered tactical freedom to carry out open-world missions.",4,28,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,25352,25352,1749,1749,1749,METAL GEAR SOLID V: THE PHANTOM PAIN
"['Action', 'RPG', 'Simulation']","The dead have risen and civilization has fallen. Now its up to you to gather survivors, scavenge for resources and build a community in a post-apocalyptic world a world where you define what it means to survive in this ultimate zombie survival simulation.",8,30,Intel Core i5-2500,Intel Core i5-2500,,,,19760,19760,0,0,0,State of Decay 2
['Unknown'],"Disco Elysium - The Final Cut is a groundbreaking role playing game. You re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.",2,20,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,AMD Radeon HD 5450,AMD Radeon HD 5450,594,594,136,136,136,Disco Elysium
"['Action', 'Adventure', 'Early Access']","GTFO is a hardcore cooperative horror shooter that throws you from gripping suspense to explosive action in a heartbeat. Stealth, strategy, and teamwork are necessary to survive in your deadly, underground prison. Work together or die together.",8,15,Intel Core i5-2500K,Intel Core i5-2500K,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,19760,19760,3886,3886,3886,GTFO
"['Action', 'Casual', 'Indie']","As Lara Croft races to save the world from a Maya apocalypse, she must become the Tomb Raider she is destined to be.",8,40,Intel Core i3-3220,Intel Core i3-3220,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,14582,14582,4023,4023,4023,Shadow of the Tomb Raider
"['Action', 'RPG', 'Adventure']","From Moon Studios, the award-winning developers of Ori and the Blind Forest and Ori and the Will of the Wisps comes No Rest for the Wicked, a visceral, precision Action RPG set to reinvent the genre.",16,35,Intel Core i5-8400,Ryzen 5 2600,NVIDIA GeForce GTX 970,Radeon RX Vega 56,NVIDIA GeForce GTX 970,19102,13167,9642,13083,9642,No Rest for the Wicked
"['Adventure', 'FPS', 'Platformer']","Take on the role of Six, a lone child lost in a massive metal vessel known as the Maw, surrounded by dangerous, distorted versions of adults. You ll need to do your best to escape in one piece or your fate will be worse than you ever dared dream.",4,10,Intel Core i3-2340UE,Intel Core i3-2340UE,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,976,976,2273,2273,2273,Little Nightmares
['Unknown'],"FIFA 20 brings two different sides of world football to life the prestige of the professional game and an all-new street football experience in EA Sports Volta Football. Football Intelligence unlocks an unprecedented platform for gameplay realism, while FIFA Ultimate Team offers more ways to build your dream squad and EA Sports Volta Football takes players to the streets with an authentic form of small-sided football.",8,50,AMD Phenom II X4 965,AMD Phenom II X4 965,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,2661,2661,4023,4023,4023,FIFA 20
"['Action', 'Strategy', 'RPG']","Become a god and wage war in SMITE 2, the free-to-play Unreal Engine 5-powered sequel to the legendary third-person action MOBA. If you love challenging competition, intense action, ability-driven combat, rewarding teamwork, or godly mythology, you ll see why 40+ million players love SMITE.",4,30,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,594,594,462,462,462,SMITE 2
"['Action', 'Adventure', 'Early Access']","The world is a vast, beautiful and dangerous place especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?",4,8,Intel Core i3-3225,Intel Core i3-3225,NVIDIA GeForce GTX 650 Ti,NVIDIA GeForce GTX 650 Ti,NVIDIA GeForce GTX 650 Ti,2263,2263,2528,2528,2528,Grounded
"['Action', 'RPG', 'Adventure']","The throne sits empty after the king s assassination. With no heirs, the will of the late king decrees that the next monarch will be elected by the people, & thus begins your fight for the throne..",6,93,Intel Core i5-3470,Intel Core i5-3470,,,,23679,23679,0,0,0,Metaphor: ReFantazio
"['Action', 'RPG', 'Adventure']","Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.",8,100,AMD FX-8350,AMD FX-8350,AMD Radeon RX 480,AMD Radeon RX 480,AMD Radeon RX 480,6084,6084,8569,8569,8569, Final Fantasy 7 Remake Intergrade
"['Action', 'Casual', 'Racing']","Rev up your engines and venture into the unknown with Drive Beyond Horizons! Conquer dynamic landscapes, customize your ride, and unearth hidden treasures. Get ready for heart-pounding challenges and endless excitement. Your adventure starts now !",8,0,Intel Core i5-6600,Intel Core i5-6600,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,21435,21435,7878,7878,7878,Drive Beyond Horizons
"['Action', 'RPG', 'Adventure']","SEGA s legendary Japanese series finally comes to PC. Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima. Take a front row seat to 1980s life in Japan in an experience unlike anything else in video gaming, with uncapped framerates and 4K resolutions. A legend is born.",4,0,Intel Core i5-3470,Intel Core i5-3470,,,,23679,23679,0,0,0,Yakuza 0
"['Action', 'RPG', 'Adventure']","In a mad and sublime utopian world, take part in explosive encounters. Adapt your fighting style to each opponent, use your environment and upgrade your equipment to fulfill your mission. If you want to reach the truth, youll have to pay in blood.",8,90,Intel Core i5-2500,Intel Core i5-2500,AMD Radeon R9 380,AMD Radeon R9 380,AMD Radeon R9 380,19760,19760,6064,6064,6064,Atomic Heart
"['Action', 'Adventure', 'FPS']",Be the hero in the ultimate STAR WARS battle fantasy with STAR WARS Battlefront II: Celebration Edition!,8,60,Intel Core i5-6600K,Intel Core i5-6600K,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,27629,27629,3886,3886,3886,STAR WARS Battlefront 2
"['Action', 'Adventure', 'FPS']","Play through all nine Skywalker saga films in a game unlike any other. With over 300 playable characters, over 100 vehicles, and 23 planets to explore, a galaxy far, far away has never been more fun! *Includes classic Obi-Wan Kenobi playable character",8,40,Intel Core i5-2400,Intel Core i5-2400,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,19102,19102,3886,3886,3886,Lego Star Wars The Skywalker Saga
"['Action', 'Strategy', 'Casual']",Streamer Life Simulator is a very comprehensive streamer life simulation game. Be the most popular streamer in the world.,4,5,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,Intel HD 4000,594,594,345,345,345,Streamer Life Simulator
"['Action', 'Violent']","The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around now with remastered graphics optimized for a new generation of hardware.",8,20,Intel Core i5-3450,Intel Core i5-3450,AMD Radeon RX 470,AMD Radeon RX 470,AMD Radeon RX 470,23679,23679,610,610,610,Crysis Remastered
"['Action', 'Adventure']","Using Unreal Engine 5 to significantly enhance graphic expression, this is the definitive version of NINJA GAIDEN 2, featuring additional playable characters and enhanced battle support functions.",12,85,Intel Core i5-8400,Intel Core i5-8400,,,,19102,19102,0,0,0,NINJA GAIDEN 2 Black
"['Sports', 'Simulation', 'Fighting']","The newest addition to the flagship WWE video game franchise will deliver fun, authentic and hard-hitting action, including returning fan-favourite features and game modes, new innovations and more!",4,44,Intel Core i3-2105,Intel Core i3-2105,ATI Radeon HD 5870,ATI Radeon HD 5870,ATI Radeon HD 5870,12419,12419,2190,2190,2190,WWE 2K16
"['Action', 'Adventure']","Uncover the origins of organized crime in Mafia: The Old Country, a gritty mob story set in the brutal underworld of 1900s Sicily. Fight to survive as Enzo Favara and prove your worth to the Cosa Nostra in this immersive third-person action-adventure.",16,55,Intel Core i7-9700K,Ryzen 7 2700X,NVIDIA GeForce RTX 2070,Radeon RX 5700 XT,NVIDIA GeForce RTX 2070,34465,17486,16101,16336,16101,Mafia: The Old Country
"['Strategy', 'Turn-based']","Expand your empire, advance your culture and go head-to-head against history s greatest leaders. Will your civilization stand the test of time?",4,12,Intel Core i3-3120M,Intel Core i3-3120M,AMD Radeon HD 5570,AMD Radeon HD 5570,AMD Radeon HD 5570,1698,1698,479,479,479,Sid Meier’s Civilization 6
"['Action', 'Indie', 'Adventure']","Take back the city of Tertium from hordes of bloodthirsty foes in this intense and brutal action shooter. Warhammer 40,000: Darktide is the new co-op focused experience from the award-winning team behind the Vermintide series. As Tertium falls, Rejects Will Rise.",8,50,Intel Core i5-6600,Ryzen 5 2600,NVIDIA GeForce GTX 970,Radeon RX 570,NVIDIA GeForce GTX 970,21435,13167,9642,14336,9642,"Warhammer 40,000: Darktide"
"['RPG', 'Sports', 'Simulation']","Take your best shot at glory in PGA TOUR 2K25! In a 2K-first, compete in three prestigious major tournaments. Personalize your game with expanded MyCAREER, MyPLAYER and Course Designer options. Challenge friends across ranked, casual, and cross-platform multiplayer.",8,30,Intel Core i5-6600K,Intel Core i5-6600K,AMD Radeon RX 570,AMD Radeon RX 570,AMD Radeon RX 570,27629,27629,610,610,610,PGA TOUR 2K25
"['Action', 'Adventure', 'FPS']","Play as Mad Max, a reluctant hero and survivor who wants nothing more than to leave the madness behind and find solace.",6,32,Intel Core i5-650,Intel Core i5-650,,,,2254,2254,0,0,0,Mad Max
['Unknown'],"A photographer enters the Great Pyramids to photograph Pharaoh Rudamon s remains, but is soon overwhelmed by a sinister curse, as the ancient tomb awakens dark forces that claw at his sanity.",6,6,Intel Core i5-3470,Intel Core i5-3470,,,,23679,23679,0,0,0,Amenti
"['Adventure', 'Simulation']","As the leader of a company specialized in restoring sites devastated by natural disasters, use your construction machinery to restart the local industry. Clear debris and faulty equipment, rebuild roads and bridges damaged by weather, and much more!",8,40,Intel Core i5-8400,Ryzen 5 1500X,NVIDIA GeForce GTX 1060,Radeon RX 590,NVIDIA GeForce GTX 1060,19102,9089,10081,9373,10081,RoadCraft
['Unknown'],"Win as One in FIFA 21, powered by Frostbite. FIFA 21 has more ways to play than ever before - including the UEFA Champions League and CONMEBOL Libertadores. Like the previous games in the series, you will be able to manage your ultimate team on the go through the FUT app, on desktop or mobile.",8,50,Intel Core i3-6100,Intel Core i3-6100,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,12419,12419,4023,4023,4023,FIFA 21
"['RPG', 'MMO']","Guild Wars 2 is an online free to play role-playing game with fast-paced action combat, a rich and detailed universe of stories, awe-inspiring landscapes to explore, two challenging player vs. player modes and no subscription fees! No payment for the core game, though there are frequent DLC drops.",8,70,Intel Core i3-4130,Intel Core i3-4130,NVIDIA GeForce GTX 680,Radeon HD 7970,NVIDIA GeForce GTX 680,14365,14365,5598,3568,5598,Guild Wars 2
"['Action', 'RPG', 'FPS']","PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.",4,31,Intel Core Duo T2450,Intel Core Duo T2450,AMD Radeon HD 6450,AMD Radeon HD 6450,AMD Radeon HD 6450,411,411,197,197,197,PAYDAY 2
"['Action', 'FPS', 'Space']","The Master Chief s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.",4,43,AMD Phenom II X4 960T,AMD Phenom II X4 960T,AMD Radeon HD 6850,AMD Radeon HD 6850,AMD Radeon HD 6850,2375,2375,1947,1947,1947,Halo: The Master Chief Collection
"['Action', 'RPG', 'Indie']","Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.",4,15,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce 8500 GT,NVIDIA GeForce 8500 GT,NVIDIA GeForce 8500 GT,594,594,155,155,155,Hades
['Unknown'],A new action game based on the concept of the ARMORED CORE series that uses the knowledge gained from FromSoftwares recent action game development.,12,60,Intel Core i7-4790K / Core i5-8400,Intel Core i7-4790K / Core i5-8400,GeForce GTX 1650,AMD Radeon RX 480,GeForce GTX 1650,52628,52628,7878,8569,7878,ARMORED CORE VI FIRES OF RUBICON
"['Action', 'FPS']","Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden a child soldier transformed into a half-human, half-cyborg ninja who...",2,25,Intel Core i5-2400,Intel Core i5-2400,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,19102,19102,1318,1318,1318,METAL GEAR RISING: REVENGEANCE
"['Racing', 'Sports', 'Simulation']",Assetto Corsa EVO redefines the realism and features of one of the most popular multiplatform driving simulations ever developed. Featuring cars and tracks from different classes spanning across years of motoring history.,16,100,Intel Core i7-8700K,Intel Core i7-8700K,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,34465,34465,13498,13498,13498,Assetto Corsa EVO
"['Action', 'FPS']","Call of Duty : Advanced Warfare envisions a powerful future, where both technology and tactics have evolved to usher in a new era of combat for the franchise.Power Changes Everything.",6,55,Intel Core i3-530,Intel Core i3-530,ATI Radeon HD 5870,ATI Radeon HD 5870,ATI Radeon HD 5870,8553,8553,2190,2190,2190,Call of Duty Advanced Warfare
"['Action', 'Fighting']","Create your own avatar to fight alongside the most powerful Manga heroes in an original Story Mode, or head to the Online Lobby to challenge other players and discover lots of modes and activities.",4,17,Intel Core i5-2300,Intel Core i5-2300,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,14365,14365,4023,4023,4023,JUMP FORCE
"['RPG', 'Casual', 'Indie']","Discover a welcoming world in Palia, a free-to-play fantasy life sim adventure where you can craft, explore, and create the life and home of your dreams. With nearly endless ways to make Palia your home, you ll find relaxation and joy in every corner of this vibrant, heartwarming world.",4,22,Intel Core i5-4670K,Intel Core i5-4670K,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,38654,38654,4023,4023,4023,Palia
"['Action', 'RPG', 'Adventure']",REMNANT II pits survivors of humanity against new deadly creatures and god-like bosses across terrifying worlds. Play solo or co-op with two other friends to explore the depths of the unknown to stop an evil from destroying reality itself.,16,80,Intel Core i5-7600,Intel Core i5-7600,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,21435,21435,7878,7878,7878,Remnant 2
"['Action', 'RPG', 'Adventure']",Experience Aloy s legendary quest to unravel the mysteries of a future Earth ruled by Machines. Use devastating tactical attacks against your prey and explore a majestic open world in this award-winning action RPG!,8,100,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780,19760,19760,7988,7988,7988,Horizon Zero Dawn
"['Action', 'Adventure']","Grand Theft Auto: San Andreas: It s the early 90s. After a couple of cops frame him for homicide, Carl CJ Johnson is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.",8,19,Intel Core i5-6600K,Intel Core i5-6600K,AMD Radeon R9 280,AMD Radeon R9 280,AMD Radeon R9 280,27629,27629,5542,5542,5542,Grand Theft Auto: San Andreas – The Definitive Edition
"['Action', 'RPG', 'FPS']","The Dragon Ball RPG of your dreams! For the first time, you can play the rest of the story. Step into the universe of Dragon Ball Z in all its iconic glory and become the hero you were always meant to be!",4,36,Intel Core i5-2400,Intel Core i5-2400,NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti,19102,19102,3898,3898,3898,DRAGON BALL Z: KAKAROT
"['Action', 'Adventure', 'FPS']","The award-winning Far Cry franchise returns with its innovative open world gameplay, bringing together massive beasts, breathtaking environments, and unpredictable savage encounters. Welcome to the Stone Age, a time of danger and adventure.",4,20,Intel Core i3-550,Intel Core i3-550,ATI Radeon HD 5770,ATI Radeon HD 5770,ATI Radeon HD 5770,1625,1625,1345,1345,1345,Far Cry Primal
['Unknown'],"Shadow the Hedgehog is back with Classic and Modern Sonic in SONIC X SHADOW GENERATIONS, an all-new collection featuring two unique experiences!",8,3,Intel Core i3-2120,Intel Core i3-2120,,,,12419,12419,0,0,0,SONIC X SHADOW GENERATIONS
"['Action', 'Indie', 'Adventure']","Hell is an experiment you cant survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",2,5,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce 9800 GTX+,NVIDIA GeForce 9800 GTX+,NVIDIA GeForce 9800 GTX+,594,594,769,769,769,Outlast
"['Action', 'FPS', 'Third-person shooter']","Developed by Shinji Mikami -- creator of the seminal Resident Evil series -- and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and an intricate story are combined to create an immersive world that will bring you to the height of tension.",4,50,Intel Core i7-610,Intel Core i7-610,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,2071,2071,2273,2273,2273,The Evil Within
['Unknown'],"Welcome to Motorfest, the ultimate driving experience! Explore the vibrant open world of the island of Oahu in Hawaii as you compete in intense races, themed events, and much more! With hundreds of iconic cars to collect, you ll have plenty of opportunities to show of your skills.",8,40,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,25352,25352,10081,10081,10081,The Crew Motorfest 
"['Strategy', 'Simulation', 'Space']","Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",4,10,AMD FX-6350,AMD FX-6350,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,4623,4623,2273,2273,2273,Stellaris
"['Action', 'Indie', 'Adventure']","Red Barrels invites you to experience mind-numbing terror, this time with friends. Whether you go through the trials alone or in teams, if you survive long enough and complete the therapy, Murkoff will happily let you leave but will you be the same?",8,40,Intel Core i7-3770,Intel Core i7-3770,AMD Radeon R7 360,AMD Radeon R7 360,AMD Radeon R7 360,36551,36551,3136,3136,3136,The Outlast Trials
"['Action', 'Indie', 'Adventure']",Film your friends doing scary things to become Sp kTube famous! (strongly advised to not go alone),8,4,Intel Core i5-3210M,Intel Core i5-3210M,NVIDIA GeForce GTX 1050 Ti,Radeon R9 380,NVIDIA GeForce GTX 1050 Ti,2469,2469,6339,6064,6339,Content Warning
"['Action', 'Adventure']","The award-winning series returns as Karl Fairburne fights to uncover Project Kraken in 1944 France. The genre-defining authentic sniping, with enhanced kill cam, has never looked or felt better as you fight across immersive maps to stop the Nazi war machine in its tracks.",8,85,Intel Core i3-8100,Intel Core i3-8100,AMD Radeon R5 M330,AMD Radeon R5 M330,AMD Radeon R5 M330,12419,12419,595,595,595,Sniper Elite 5
"['Action', 'Adventure', 'FPS']","Fight through Mordor and uncover the truth of the spirit that compels you, discover the origins of the Rings of Power, build your legend and ultimately confront the evil of Sauron in this new chronicle of Middle-earth.",3,44,Intel Core i5-750,Intel Core i5-750,,,,1326,1326,0,0,0,Middle-earth: Shadow of Mordor
"['Action', 'Strategy', 'RPG']","Winner of over 130 Game of the Year awards, discover the definitive Dragon Age: Inquisition experience. The Game of the Year Edition includes the critically acclaimed game, all three official add-ons - Jaws of Hakkon, The Descent, and Trespasser - and more.",4,26,Intel Core 2 Quad Q6600,Intel Core 2 Quad Q6600,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,756,756,462,462,462,Dragon Age Inquisition
"['Action', 'Adventure', 'FPS']","Blending action and survival horror, Resident Evil 6 promises to be the dramatic horror experience of 2013.",2,16,Intel Pentium 4 4.00GHz,Intel Pentium 4 4.00GHz,NVIDIA GeForce 256,NVIDIA GeForce 256,NVIDIA GeForce 256,133,133,5,5,5,Resident Evil 6 / Biohazard 6
"['Action', 'RPG', 'Adventure']","PAYDAY 3 is the much anticipated sequel to one of the most popular co-op shooters ever. Since its release, PAYDAY-players have been reveling in the thrill of a perfectly planned and executed heist. That s what makes PAYDAY a high-octane, co-op FPS experience without equal.",16,0,Intel Core i5-9400F,Intel Core i5-9400F,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,19475,19475,7878,7878,7878,PAYDAY 3
"['Racing', 'Sports', 'Simulation']","F1 2020 allows you to create your F1 team for the very first time and race alongside the official teams and drivers. Alternatively, challenge your friends in new split-screen with casual race options for more relaxed racing. Compete on 22 circuits, with current and classic content.",8,80,Intel Core i3-2130,Intel Core i3-2130,AMD Radeon HD 7750,AMD Radeon HD 7750,AMD Radeon HD 7750,12419,12419,1692,1692,1692,F1 2020
"['Action', 'Violent']","Watch Dogs: Legion is the upcoming game in the Watch Dogs series. In the near future, London is facing its downfall: an all-seeing surveillance state is oppressing the people, private militaries control the streets, and a powerful crime syndicate is preying on the vulnerable. The fate of London lies with you and your ability to fight back. Welcome to the Resistance.",8,45,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,25352,25352,9642,9642,9642,Watch Dogs Legion
"['Photo Editing', 'Utilities']","Lightroom is the cloud-based photo editor that gives you everything you need to edit, organise, store and share your photos.",4,2,Intel Core i3-2120,Intel Core i3-2120,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,12419,12419,6115,6115,6115,Adobe Lightroom
"['Action', 'RPG']","The Mass Effect Legendary Edition includes single-player base content and over 40 DLC from the highly acclaimed Mass Effect, Mass Effect 2, and Mass Effect 3 games, including promo weapons, armors, and packs remastered and optimized for 4K Ultra HD.",8,120,Intel Core i5-3570,FX-8350,NVIDIA GeForce GTX 760,Radeon HD 7970,NVIDIA GeForce GTX 760,31430,6084,4806,3568,4806,Mass Effect Legendary Edition
['Unknown'],"Three iconic cities, three epic stories. Play the genre-defining classics of the original GTA Trilogy: GTA III, GTA: Vice City and GTA: San Andreas updated for a new generation, now with across-the-board enhancements including brilliant new lighting and environmental upgrades, with high-resolution textures, increased draw distances, GTA V-style controls and targeting, and much more, bringing these beloved worlds to life with all-new levels of detail.",8,45,Intel Core i5-6600K,Intel Core i5-6600K,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,27629,27629,4806,4806,4806,GTA Trilogy
['Unknown'],"42 Civilizations, 229 Campaign Missions, Singleplayer, Co-Op, Multiplayer, In-Game Editor, Mods, Cross-play...It is good to be the king.",4,15,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,AMD Radeon HD 6850,AMD Radeon HD 6850,AMD Radeon HD 6850,594,594,1947,1947,1947,Age of Empires II: Definitive Edition
"['Action', 'Early Access', 'FPS']","Hunt: Showdown 1896 is a new era of the addictively unforgiving extraction shooter. In corrupted backwaters lost to history, fight back alone or with friends against timeless evil. Twisted monsters and other ruthless Hunters stand between you and your Bounty. Risk everything as Hunt consumes you",8,75,AMD Ryzen 5 2600,AMD Ryzen 5 2600,,,,13167,13167,0,0,0,Hunt Showdown
